2016-10-21 14:09:42,052,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,057,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,062,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,067,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,072,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,077,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,081,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,086,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,092,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,100,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,105,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,110,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
